OSTATNIA AKTUALIZACJA: 2026-06-29 05:31:16 UTC
Asset           | Cena LIVE            | Źródło         
--------------------------------------------------------
AAVE            | 92.8900              | Bitget
ADA             | 0.143600             | Bitget
ALGO            | 0.087900             | Bitget
APE             | 0.135100             | Bitget
ATOM            | 1.5710               | Bitget
BCH             | 193.4000             | Bitget
BNB             | 550.3000             | Bitget
BTC             | 59712.2400           | Bitget
CHZ             | 0.017290             | Bitget
CRV             | 0.189900             | Bitget
DOGE            | 0.072540             | Bitget
DOT             | 0.816000             | Bitget
ETC             | 7.0290               | Bitget
ETH             | 1571.1500            | Bitget
FIL             | 0.716900             | Bitget
GRT             | 0.017700             | Bitget
ICP             | 2.1510               | Bitget
INJ             | 4.5770               | Bitget
LINK            | 7.2590               | Bitget
LTC             | 42.7900              | Bitget
MANA            | 0.063680             | Bitget
NEAR            | 1.8320               | Bitget
NEO             | 1.9270               | Bitget
OP              | 0.100900             | Bitget
POL             | 0.071590             | Bitget
QNT             | 65.5900              | Bitget
QTUM            | 0.698300             | Bitget
RUNE            | 0.385600             | Bitget
SHIB            | 0.00000415           | Bitget
SOL             | 71.4400              | Bitget
SNX             | 0.219000             | Bitget
TRX             | 0.322600             | Bitget
TWT             | 0.346600             | Bitget
UNI             | 2.9260               | Bitget
XLM             | 0.172100             | Bitget
XMR             | 118.7000             | Binance (Zapas)
XRP             | 1.0425               | Bitget
XTZ             | 0.210800             | Bitget
YFI             | 1638.0000            | Binance (Zapas)
ZEC             | 377.1900             | Bitget
1INCH           | 0.068520             | Bitget
ACX             | 0.042060             | Bitget
AGLD            | 0.175100             | Bitget
AGX             | [BRAK PARY]          | -
ALCH            | [BRAK PARY]          | -
API3            | 0.219400             | Bitget
APT             | 0.573800             | Bitget
ARB             | 0.074900             | Bitget
ARKM            | 0.113500             | Bitget
ASTR            | 0.005092             | Bitget
AUCTION         | 3.2160               | Bitget
AXS             | 0.994000             | Bitget
BICO            | 0.018960             | Bitget
BIGTIME         | 0.007390             | Bitget
BLUR            | 0.014660             | Bitget
CAKE            | 1.3490               | Bitget
CELO            | 0.067790             | Bitget
CFX             | 0.042130             | Bitget
COMP            | 15.6400              | Bitget
DYDX            | 0.160600             | Bitget
DYM             | 0.015930             | Bitget
ENA             | 0.077950             | Bitget
ENJ             | 0.028800             | Bitget
ENS             | 4.1030               | Bitget
GALA            | 0.002269             | Bitget
GAS             | 1.1780               | Bitget
GMX             | 5.4710               | Bitget
HIGH            | 0.034000             | Binance (Zapas)
HBAR            | 0.071030             | Bitget
IMX             | 0.121300             | Bitget
IO              | 0.169800             | Bitget
JASMY           | 0.004347             | Bitget
JTO             | 0.817300             | Bitget
JUP             | 0.208000             | Bitget
KAVA            | 0.042640             | Bitget
KNC             | 0.108800             | Bitget
LDO             | 0.246400             | Bitget
LRC             | 0.018790             | Binance (Zapas)
LPT             | 1.5580               | Bitget
METIS           | 2.7230               | Bitget
MINA            | 0.038350             | Bitget
MOVR            | 1.1650               | Bitget
MASK            | 0.384200             | Bitget
MTL             | 0.234000             | Binance (Zapas)
NFP             | 0.005950             | Bitget
NOT             | 0.000377             | Bitget
ONDO            | 0.309900             | Bitget
ORDI            | 3.2440               | Bitget
PENDLE          | 1.2740               | Bitget
PHB             | 0.015000             | Binance (Zapas)
POLYX           | 0.037300             | Bitget
PYTH            | 0.035420             | Bitget
REZ             | 0.003034             | Bitget
RPL             | 1.3900               | Binance (Zapas)
RSR             | 0.001151             | Bitget
RVN             | 0.003952             | Bitget
